,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
334,7,2,8,9,2,2,0.0009999275207519531,0.8,4,1,2,3
335,7,2,8,9,2,3,0.0010001659393310547,0.4575342465753424,4,1,2,3
336,7,2,8,9,2,4,0.0009999275207519531,0.0,4,1,2,3
337,7,2,8,10,1,1,0.0010001659393310547,0.8010958904109589,14,5,11,6
338,7,2,8,10,1,2,0.0009999275207519531,0.8,14,5,11,6
339,7,2,8,10,1,3,0.0009999275207519531,0.4575342465753424,14,5,11,6
340,7,2,8,10,1,4,0.0,0.5260273972602739,14,5,11,6
341,7,2,8,10,1,5,0.0009999275207519531,0.31735537190082647,14,5,11,6
342,7,2,8,10,1,6,0.0015943050384521484,0.20273972602739726,14,5,11,6
343,7,2,8,10,1,7,0.0010008811950683594,0.3221917808219178,14,5,11,6
344,7,2,8,10,1,8,0.0009999275207519531,0.27693707191780825,14,5,11,6
345,7,2,8,10,1,9,0.0020036697387695312,0.31342465753424664,14,5,11,6
346,7,2,8,10,1,10,0.0010001659393310547,0.2627440405565743,14,5,11,6
